old url,redirectTo
/product/cisco-ie-3200-8t2s-e-industrial-ethernet-switch-with-8-ports-and-2-sfp-uplinks,/product/IE3200-8T2S-E
/product/cisco-ie-2000-8tc-g-e-industrial-ethernet-switch-with-8-gigabit-ports,/product/IE2000-8TC-G-E
/product/cisco-catalyst-9105axw-b-wireless-access-point-with-wi-fi-6-and-advanced-features,/product/9105AXW-B
/product/cisco-aironet-ap1562e-a-k9-wireless-access-point-with-rugged-design,/product/AP1562E-A-K9
/product/cisco-ie-3300-8t2s-a-industrial-ethernet-switch-with-8-ports-and-2-sfp-uplinks,/product/IE3300-8T2S-A
/product/cisco-qsfp-40g-lr4-s-40gbase-lr4-transceiver-for-long-distance-fiber,/product/QSFP-40G-LR4-S
/product/cisco-ata-187-analog-telephone-adapter-for-voip-integration,/product/ATA187
/product/ruckus-901-r720-ww00-high-density-wireless-access-point,/product/901-R720-WW00
/product/cisco-hwic-1fe-1-port-fast-ethernet-interface-card-for-routers,/product/HWIC-1FE
/product/juniper-srx550-645ap-m-security-appliance-for-network-protection,/product/SRX550
/product/cisco-aironet-ap305c-wr-wireless-access-point-for-enhanced-coverage,/product/AP305C-WR
/product/cisco-a99-32hg-fc-32-port-high-speed-ethernet-switch-module,/product/A99-32HG-FC
/product/cisco-a9k-rsp5-x-se-route-switch-processor-for-nexus-9000-series,/product/A9K-RSP5-X-SE
/product/cisco-ce-mpua-s-processor-and-memory-upgrade-module,/product/CE-MPUA-S
/product/ruckus-901-h320-ww00-high-performance-wireless-access-point,/product/901-H320-WW00
/product/dell-s4048-on-48-port-10g-ethernet-switch-for-data-center-environments,/product/S4048-ON
/product/cisco-webex-codec-pro---video-conferencing-device,/product/WEBEX-CODEC-PRO
/product/cisco-aironet-ct3504-k9-wireless-controller-for-scalable-wireless-networks,/product/CT3504-K9
/product/fortinet-fortigate-50e-next-generation-firewall-for-small-to-medium-networks,/product/FORTIGATE-50E
/product/cisco-catalyst-c9130axi-e-wireless-access-point-with-wi-fi-6e,/product/C9130AXI-E
/product/cisco-nim-ltea-ea-network-interface-module-for-lte-connectivity,/product/NIM-LTEA-EA
/product/cisco-aironet-ap-bracket-9,/product/AP-BRACKET-9
/product/cisco-n9k-c9504-fm-e-fabric-module-for-nexus-9000-series-switches,/product/N9K-C9504-FM-E
/product/cisco-catalyst-9800-l-c-k9-wireless-controller-for-scalable-management,/product/9800-L-C-K9
/product/cisco-catalyst-c9120axe-a-wireless-access-point-with-wi-fi-6e,/product/C9120AXE-A
/product/cisco-asa-5545-k9-next-generation-firewall-for-mid-sized-networks,/product/ASA5545-K9
/product/juniper-qfx5110-48s-afo-48-port-ethernet-switch-with-advanced-features,/product/QFX5110-48S-AFO
